rcdts,school_name,disciplinary_action_ratio_RAW_values,violent_incidents_ratio_RAW_values,disciplinary_action_ratio_TALLY_values,violent_incidents_ratio_TALLY_values
010010020260001,Liberty High School,0.07169811320754717,0.0,89,100
010010020262002,Liberty Elementary School,0.0449438202247191,0.0,93,100
010010040260001,Unity High School,0.11731843575418995,0.0,82,100
010090150260007,Beardstown Jr/Sr High School,0.1375921375921376,0.09821428571428571,79,98
010090640260003,Virginia Jr/ Sr High School,0.16911764705882354,0.2608695652173913,74,95
010090640262001,Virginia Elem School,0.06521739130434782,0.0,90,100
010750030260002,Pleasant Hill High School,0.0,,100,
010750030262001,Pleasant Hill Elem School,0.0,,100,
010750040260002,Griggsville-Perry High School,0.20388349514563106,0.19047619047619047,69,96
010750040261002,Griggsville-Perry Middle Schoo,0.125,0.45454545454545453,81,91
010750120262001,Western Barry Elem,0.029411764705882353,0.14285714285714285,96,97
030250100262002,Altamont Grade School,0.042643923240938165,0.9,94,81
030680120261002,Litchfield Middle School,0.0,,100,
041011400042001,Rockton Elem School,0.011111111111111112,0.0,99,100
041012050252066,Whitehead Elem School,0.10361067503924647,3.0606060606060606,84,35
041012050253080,Beyer Early Childhood Center,0.0,,100,
041013210260001,Pecatonica High School,0.0297029702970297,0.0,96,100
041013210262002,Pecatonica Elem School,0.018461538461538463,1.0,98,79
050160280022003,Meadowbrook Elem School,0.01327433628318584,0.6666666666666666,98,86
050160340042002,Henking Elem School,0.0,,100,
050162140170004,John Hersey High School,0.028949950932286556,0.8135593220338984,96,83
050162250170002,Glenbrook South High School,0.007778153533987149,0.8695652173913043,99,82
060160910022003,Field Stevenson Elem School,0.025510204081632654,0.6,97,88
060160925021001,Westchester Middle School,0.04985337243401759,0.5882352941176471,93,88
060160925022002,Westchester Intermediate Schoo,0.0486322188449848,0.8125,93,83
060160940022001,Komarek Elem School,0.015209125475285171,0.75,98,84
060160960021004,L J Hauser Jr High School,0.008912655971479501,0.0,99,100
060160960022001,A F Ames Elem School,0.0,,100,
060160960022002,Blythe Park Elem School,0.004761904761904762,0.0,100,100
060160960022003,Central Elem School,0.0,,100,
060160960022005,Hollywood Elem School,0.0,,100,
060162040170001,Lyons Twp High Sch,0.03905197953137624,0.6620689655172414,94,86
060162090170002,Proviso West High School,0.0011862396204033216,0.5,100,90
060162120160001,East Leyden High School,0.20481927710843373,0.12299465240641712,68,98
060164010262003,Elmwood Elem School,0.005628517823639775,0.0,100,100
070161100022002,Charles J Sahs Elem School,0.02364864864864865,0.0,97,100
070161110022005,J B Kennedy Elem School,0.0,,100,
